symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Geneid	Regulate
Snta1	224.556307815235	2.34933738010267	0.501620448017968	4.68349603646643	2.82022910043406e-06	0.000640192005798532	ENSMUSG00000027488.12	Up
B3gnt8	139.069700992948	3.06490929476269	0.656008906333911	4.67205439616797	2.98201954963874e-06	0.000654969134511979	ENSMUSG00000059479.7	Up
Lrrc17	624.439550616283	2.90801241408056	0.622598184014682	4.67076918748607	3.00073964710334e-06	0.000654969134511979	ENSMUSG00000039883.5	Up
Cacng1	97.1439487928477	3.82811236346052	0.821427305552564	4.66031788520276	3.15721399200736e-06	0.000676120354892142	ENSMUSG00000020722.5	Up
Map2k2	706.965817066831	1.62272152098462	0.349681259859858	4.64057330848946	3.47443888406516e-06	0.000730275580261844	ENSMUSG00000035027.18	Normal
Hdac5	644.20502617422	2.74405524526844	0.592723896486878	4.62956742849863	3.6643039422994e-06	0.000749756941884648	ENSMUSG00000008855.17	Up
Tubb2b	642.659260094965	2.58422613398446	0.558437427880406	4.62760195675476	3.69924129916654e-06	0.000749756941884648	ENSMUSG00000045136.6	Up
Rps6ka4	584.162570076941	2.05348263256267	0.444436168385026	4.62042196076105	3.82960373148356e-06	0.000762561444777868	ENSMUSG00000024952.13	Up
Nudc	674.584507083028	1.71453739942768	0.372425860584409	4.60370124871896	4.1504773726026e-06	0.000812205485845508	ENSMUSG00000028851.6	Normal
Fxyd6	541.02498752506	2.39209797416895	0.522209835462401	4.58072179366522	4.63373909542674e-06	0.000891405741238874	ENSMUSG00000066705.7	Up
Tfrc	5999.89026779185	-1.35686286774859	0.297945881670586	-4.55405814015837	5.26208024356114e-06	0.000995410179406983	ENSMUSG00000022797.16	Down
Sync	269.980820825593	2.4324202922499	0.536403914394249	4.53468035369725	5.76907876953118e-06	0.0010561136134545	ENSMUSG00000001333.9	Up
Gsn	1022.48614654462	2.3835848077577	0.525295896671675	4.53760408725886	5.68969495721597e-06	0.0010561136134545	ENSMUSG00000026879.14	Up
Tns1	1453.62485666076	2.01222893620652	0.444257867281404	4.52941654926716	5.91467892752786e-06	0.00106558104488002	ENSMUSG00000055322.16	Up
Ralgds	204.796797808435	2.50126922359369	0.55345709321826	4.51935525669972	6.20282370951184e-06	0.00108310844773784	ENSMUSG00000026821.16	Up
Edf1	476.52510927165	2.21592079197282	0.490021222732351	4.52209147109361	6.12315867631019e-06	0.00108310844773784	ENSMUSG00000015092.9	Up
Lsp1	382.686538823955	2.49553841691327	0.55430156598602	4.50213127663473	6.72754042691853e-06	0.00115693308856856	ENSMUSG00000018819.10	Up
Dhrs3	141.211304183027	2.02131797052485	0.449688614538536	4.49492805727158	6.9593472280708e-06	0.00117893419460602	ENSMUSG00000066026.14	Up
Igf2	73.0559590538252	4.18202229176214	0.932140651023242	4.48647131435733	7.24124615303345e-06	0.00119113251937579	ENSMUSG00000048583.16	Up
Tnfrsf1b	331.556463089024	2.72137409233373	0.606178894735789	4.48939102955717	7.14270749096896e-06	0.00119113251937579	ENSMUSG00000028599.10	Up
Spsb2	71.5492929280766	3.10257222418669	0.692434658237309	4.4806714789302	7.44085691636729e-06	0.00120648180001098	ENSMUSG00000038451.13	Up
Lmna	8163.99106138611	2.18665179365376	0.490273872104517	4.4600618512822	8.19360033866128e-06	0.00130982202596909	ENSMUSG00000028063.15	Up
Ubtd1	287.394131680434	2.16922537525315	0.487396489074064	4.4506380818913	8.56155232185967e-06	0.00133114546374119	ENSMUSG00000025171.2	Up
Sart1	413.950835092191	1.84281744861237	0.413848571696684	4.45287860015379	8.47266636324186e-06	0.00133114546374119	ENSMUSG00000039148.5	Normal
Mknk2	633.303332083856	2.08518418319303	0.470862178808485	4.42843846254456	9.4917791516792e-06	0.00145583369421026	ENSMUSG00000020190.13	Up
Mib2	141.327308534241	2.27193971779891	0.514658643280204	4.41445946252566	1.01262687991892e-05	0.00153244201161064	ENSMUSG00000029060.17	Up
Mme	117.027037890036	2.39582177787574	0.544740441939261	4.39809787088081	1.09203735444308e-05	0.00160969142505571	ENSMUSG00000027820.12	Up
Mafk	302.21866101379	1.68419148317035	0.382873958999987	4.39881439722155	1.08843860627509e-05	0.00160969142505571	ENSMUSG00000018143.10	Normal
Csnk1g2	638.276909774466	1.7654416213973	0.402709084906793	4.38391307165546	1.16566302557386e-05	0.0016961891461876	ENSMUSG00000003345.16	Normal
Tubb3	172.780337855149	1.86797423750555	0.426594072030199	4.37880964593739	1.19329302738472e-05	0.00171441466592616	ENSMUSG00000062380.4	Normal
Myog	57.2660568569398	5.49909092768298	1.26005702610554	4.36416036239173	1.27611943123772e-05	0.00181049444306851	ENSMUSG00000026459.5	Up
Stac3	137.001502402283	3.4232792955257	0.784986398296642	4.36094090668824	1.29504341669629e-05	0.00181465960240777	ENSMUSG00000040287.9	Up
Inhba	975.923002332346	-2.81463680735754	0.646988037364984	-4.35036916419789	1.35908528392681e-05	0.00188117292348406	ENSMUSG00000041324.14	Down
Ptgs2	799.918283931297	-2.6269668461615	0.60469957910249	-4.34425115701339	1.39751556164195e-05	0.00191106043670314	ENSMUSG00000032487.8	Down
Ypel3	99.6204594490555	2.90425409088704	0.670942933709985	4.32861566158532	1.50049525182131e-05	0.00197647991919677	ENSMUSG00000042675.15	Up
Myo18a	677.552100599701	2.09762177788262	0.484831722306002	4.32649449566897	1.51501103938431e-05	0.00197647991919677	ENSMUSG00000000631.20	Up
Lonp1	1022.07674517245	1.61265162239219	0.372428151351575	4.33010130018296	1.49040764091504e-05	0.00197647991919677	ENSMUSG00000041168.10	Normal
Pdk4	823.012328633853	-1.31212897425364	0.303200597847669	-4.32759362470935	1.50747272998136e-05	0.00197647991919677	ENSMUSG00000019577.6	Down
Mdfi	58.2954988751573	3.44339796623942	0.797738043779751	4.31645198958334	1.58557147493871e-05	0.00203994432206328	ENSMUSG00000032717.14	Up
Bcam	179.63382600514	2.40604815366759	0.557984176735298	4.31203653075811	1.61757699546868e-05	0.00203994432206328	ENSMUSG00000002980.14	Up
Cd44	9260.48208275442	-1.17945289846115	0.273418310435004	-4.31373047615083	1.60522627351035e-05	0.00203994432206328	ENSMUSG00000005087.17	Down
Pex6	287.628279436866	1.61062170497217	0.374752304567473	4.29783002090167	1.72478346413132e-05	0.0021512409140539	ENSMUSG00000002763.16	Normal
Crlf1	1084.52219282987	1.68207523663628	0.391741854863768	4.29383589154965	1.75612301611378e-05	0.0021665213296621	ENSMUSG00000007888.15	Normal
H2az2	247.858714803699	2.45521145208991	0.57324341672639	4.28301726709892	1.84375857092348e-05	0.00225017847096575	ENSMUSG00000041126.16	Up
Stub1	211.29519158237	2.14633565982551	0.502569059322411	4.2707278134458	1.94836081754024e-05	0.00235254205096614	ENSMUSG00000039615.9	Up
Eml2	130.06106620719	2.13844483007676	0.50213070924857	4.25874138085859	2.05581148173517e-05	0.00245615371765202	ENSMUSG00000040811.15	Up
Map1lc3a	103.502383907159	2.58009939845667	0.60639318889357	4.2548291203012	2.09208725264568e-05	0.00247345732474255	ENSMUSG00000027602.9	Up
Myh14	86.7609258958954	2.98037634790731	0.70139174951334	4.24923211596835	2.14504560135312e-05	0.00250374553530854	ENSMUSG00000030739.18	Up
Arhgef19	146.668056902418	2.68627394815409	0.63243852804888	4.24748624414367	2.16182433885672e-05	0.00250374553530854	ENSMUSG00000028919.11	Up
Pfdn6	199.003494522329	2.01763267345893	0.475874273354319	4.23984398071605	2.23675195495976e-05	0.00254712708826695	ENSMUSG00000024309.15	Up
Efnb2	590.770474953571	-1.35537203894085	0.319730993833125	-4.23910119782834	2.24416483547749e-05	0.00254712708826695	ENSMUSG00000001300.16	Down
Htra3	294.722510238708	2.51030267722504	0.592779907512809	4.23479717414477	2.28758084776808e-05	0.00257069728932353	ENSMUSG00000029096.15	Up
Pnmal2	107.857224753097	3.62430325971463	0.858624511534207	4.22105729690695	2.4315911509611e-05	0.00266549725408206	ENSMUSG00000070802.5	Up
Tubb2a	735.088415116212	2.15626046386002	0.510431903537035	4.22438419095323	2.39595018220901e-05	0.00266549725408206	ENSMUSG00000058672.7	Up
Ccdc124	374.705000010364	1.76665586667163	0.418633070130592	4.22005807166768	2.44239395968753e-05	0.00266549725408206	ENSMUSG00000007721.6	Normal
Gm9800	415.772554401672	1.79248389512214	0.425739185597027	4.21028638134045	2.55047181351567e-05	0.0027569385793717	ENSMUSG00000045799.6	Normal
Safb	819.33359522357	1.77157804407415	0.421224126378134	4.20578483788889	2.60177673588859e-05	0.00278586471248448	ENSMUSG00000071054.12	Normal
Myo18b	45.3302624319824	3.39247157993292	0.81020056393339	4.18719972677262	2.82417287435623e-05	0.0029679964929577	ENSMUSG00000072720.9	Up
Psmb5	482.413594621338	1.68444116585034	0.402147914309321	4.18861097102374	2.80667058588875e-05	0.0029679964929577	ENSMUSG00000022193.7	Normal
Megf8	700.460786918254	2.19525170260781	0.52475109163229	4.18341521840243	2.87162212054348e-05	0.0029901753273549	ENSMUSG00000045039.9	Up
Bbc3	90.6408521037932	2.29535531064487	0.55006241062794	4.17289977699901	3.00747257505248e-05	0.00302782289987557	ENSMUSG00000002083.13	Up
Ehbp1l1	1018.68005267977	1.88403676176045	0.451391142944692	4.17384521430739	2.9950127679527e-05	0.00302782289987557	ENSMUSG00000024937.15	Normal
Arpc1b	2051.03696491241	1.58764790593794	0.380514707607538	4.17236935707472	3.01448447300387e-05	0.00302782289987557	ENSMUSG00000029622.16	Normal
Phlda3	1389.44284797384	1.35519314979938	0.324498404633285	4.17627060857472	2.96327276038973e-05	0.00302782289987557	ENSMUSG00000041801.5	Normal
Dysf	132.584269495081	2.28905212323501	0.549505892223177	4.1656552834657	3.10459516974259e-05	0.00306622572726838	ENSMUSG00000033788.15	Up
Mapk6	3348.64849384194	-1.12770882262891	0.270726108238045	-4.16549711429136	3.10674853423668e-05	0.00306622572726838	ENSMUSG00000042688.16	Down
Slc43a2	642.768732636402	2.36721902048191	0.569683170597565	4.15532552593898	3.24824738836695e-05	0.00307218895703761	ENSMUSG00000038178.16	Up
Neb	2276.09137885971	2.2372348116455	0.538048806963421	4.15805180253397	3.2097324713425e-05	0.00307218895703761	ENSMUSG00000026950.18	Up
Dctn1	852.709287284914	2.0711839905638	0.498357924584101	4.15601696770907	3.23843783895471e-05	0.00307218895703761	ENSMUSG00000031865.16	Up
Calcoco1	309.408890314164	2.04421443967551	0.492174284397872	4.15343609871127	3.27519703789912e-05	0.00307218895703761	ENSMUSG00000023055.10	Up
Asb5	2657.1088390587	-1.15273018595184	0.277448331674174	-4.15475623513776	3.25634515315315e-05	0.00307218895703761	ENSMUSG00000031519.4	Down
Rsbn1	547.933394910844	-1.58773233178702	0.381637483356954	-4.16031548531616	3.1780828451772e-05	0.00307218895703761	ENSMUSG00000044098.14	Down
Olfml3	164.1901822896	2.55545090321685	0.617027692262702	4.14154978011725	3.44966980837898e-05	0.00320932396107389	ENSMUSG00000027848.12	Up
Chd5	44.5553705148962	3.06821770469355	0.741641393127995	4.13706372530373	3.51778437558195e-05	0.00322116306380769	ENSMUSG00000005045.16	Up
Lsm4	148.473053529739	2.76097405208569	0.667389714699273	4.13697423150998	3.51915612257404e-05	0.00322116306380769	ENSMUSG00000031848.15	Up
Arid5a	304.68085470682	1.6356743967553	0.395777263663663	4.13281546699792	3.58346425138533e-05	0.00325378554025788	ENSMUSG00000037447.16	Normal
Gm10282	386.063581669746	2.47154503156163	0.599427628943043	4.123175029352	3.73685527150721e-05	0.00336613550250848	ENSMUSG00000070713.5	Up
Ptov1	417.329171946127	1.93761504264374	0.471248158312294	4.11166602662814	3.92814244573777e-05	0.00348728541939495	ENSMUSG00000038502.17	Normal
Phldb2	822.180689277046	-1.25153713691594	0.304477965711137	-4.11043582084126	3.94913035931368e-05	0.00348728541939495	ENSMUSG00000033149.17	Down
Cers6	557.232850436197	-1.33042486867929	0.323736185649975	-4.10959579945676	3.96352263525945e-05	0.00348728541939495	ENSMUSG00000027035.10	Down
Mtch1	903.045187277401	1.79136528139209	0.436896895367858	4.10020144428767	4.12790661704586e-05	0.00360398000795927	ENSMUSG00000024012.18	Normal
Aamp	467.521890914787	1.60560210648817	0.393032532386439	4.08516337499894	4.40458141413612e-05	0.00378727265533674	ENSMUSG00000006299.13	Normal
Zfp280c	809.906888555415	-1.25363615727526	0.306862756717672	-4.08533173163357	4.40138880140189e-05	0.00378727265533674	ENSMUSG00000036916.13	Down
Dcn	352.903125046497	-1.80994129163916	0.445124908495331	-4.0661424627019	4.77977236262307e-05	0.00407897867035878	ENSMUSG00000019929.16	Down
Tln2	2436.82835439365	2.17942236577151	0.536331910831674	4.06357019180892	4.8327780404148e-05	0.00408103104928235	ENSMUSG00000052698.15	Up
Wincr1	244.010836372316	-2.25175965526042	0.554273364435355	-4.06254350243642	4.85408979430059e-05	0.00408103104928235	ENSMUSG00000085183.1	Down
Lamb3	286.051507752175	2.24400564325109	0.553437929940035	4.05466543193783	5.02061089393625e-05	0.00415941121504938	ENSMUSG00000026639.18	Up
Hmcn2	578.80324582874	1.44067313534311	0.355198675301537	4.05596426878587	4.99278922815261e-05	0.00415941121504938	ENSMUSG00000055632.18	Normal
Apba3	266.183068920945	1.76200811497872	0.435880602563066	4.04241001920654	5.29046170746374e-05	0.00434109332779438	ENSMUSG00000004931.11	Normal
Plec	8187.23239662214	1.75533693544635	0.434353530857607	4.04126318941286	5.31640504461162e-05	0.00434109332779438	ENSMUSG00000022565.15	Normal
Npnt	885.034007882862	-1.22251738948984	0.302646510072741	-4.03942338273127	5.3582767303607e-05	0.00434403149211385	ENSMUSG00000040998.18	Down
Kremen1	1172.48897556934	2.48298452362162	0.61583913793775	4.03187191372141	5.53343440704111e-05	0.00445066357458889	ENSMUSG00000020393.16	Up
Acads	195.310162396018	1.76454384771535	0.437808752233771	4.03039874993902	5.5682310801024e-05	0.00445066357458889	ENSMUSG00000029545.13	Normal
Scand1	59.2945924944308	2.80732538799817	0.69858050847631	4.01861396637202	5.85414920878566e-05	0.0045823857599805	ENSMUSG00000046229.10	Up
Kifc3	184.847020866014	2.07448232571136	0.516076249013059	4.01972059299103	5.82672027646278e-05	0.0045823857599805	ENSMUSG00000031788.14	Up
Gpd2	1268.6935678089	-1.31341789032351	0.326748816053855	-4.01965615724535	5.82831404291967e-05	0.0045823857599805	ENSMUSG00000026827.12	Down
Susd5	99.7481604386825	2.34516253251389	0.58383089100007	4.01685242878594	5.89806320557521e-05	0.00458513817693689	ENSMUSG00000086596.2	Up
Snrpf	126.828677973898	2.8209101297289	0.702652515470542	4.01465883579714	5.95318423648425e-05	0.00459650619619702	ENSMUSG00000020018.6	Up
Dlx3	103.205290177625	2.70068289888487	0.674186538146058	4.00583925379386	6.17976665779085e-05	0.00473921294364366	ENSMUSG00000001510.8	Up
Tspo	423.030050263157	1.91949900501772	0.47958970207683	4.00237744202067	6.27091532452171e-05	0.00477683818344439	ENSMUSG00000041736.7	Normal
Acaa1a	183.031442934098	2.37900144016085	0.595127618086376	3.99746435531003	6.40246282445301e-05	0.00484453020383611	ENSMUSG00000036138.16	Up
Scn1b	126.882132997767	2.34906376187369	0.588572545184239	3.99112017897194	6.57619434344986e-05	0.00491051353935236	ENSMUSG00000019194.15	Up
Fbln1	171.76338675335	1.92472965721393	0.482218792942271	3.99140324969531	6.56834844723952e-05	0.00491051353935236	ENSMUSG00000006369.14	Normal
Cldn12	1317.21035913388	-1.21501620429814	0.30457875355501	-3.98916927105584	6.63050953060148e-05	0.00491871131845273	ENSMUSG00000046798.14	Down
Ddah1	388.671852212397	-1.94678023455768	0.488783651331548	-3.98290783510095	6.80771613436539e-05	0.00501737520292514	ENSMUSG00000028194.15	Down
Myf5	1682.75306984736	-1.12292715918825	0.282106010800683	-3.98051482845444	6.87661747793692e-05	0.00503545860481188	ENSMUSG00000000435.1	Down
Sdc3	3253.80228552274	1.72780913895275	0.434316350633142	3.97822724480432	6.94309982863203e-05	0.00504089569388753	ENSMUSG00000025743.14	Normal
Rhobtb3	1068.95241200176	-1.18735086781962	0.298538668395886	-3.97720963317587	6.97286893339509e-05	0.00504089569388753	ENSMUSG00000021589.13	Down
Gm4149	200.073012474407	3.00946121153113	0.757152914107303	3.97470729552608	7.04658645222968e-05	0.00506194659701309	ENSMUSG00000074800.4	Up
Gse1	939.023144769811	1.84935302949607	0.465519440835732	3.97266551570003	7.10728178151445e-05	0.00507343699498044	ENSMUSG00000031822.20	Normal
Atoh8	942.481456524811	2.20725414142076	0.557973348029104	3.95584152758785	7.62657068903245e-05	0.00540867521834051	ENSMUSG00000037621.8	Up
Klc1	848.558858525859	1.90969720426095	0.482927881601432	3.95441488681131	7.67221771059756e-05	0.00540867521834051	ENSMUSG00000021288.19	Normal
Tnks1bp1	608.220307281822	1.70050256204358	0.430589048991606	3.94924712095205	7.83973837196832e-05	0.00549265620505188	ENSMUSG00000033955.13	Normal
Gm11847	130.094356789316	2.64311254761064	0.670441442705689	3.94234660814504	8.06882547614478e-05	0.0055842176313563	ENSMUSG00000060989.8	Up
Cxcl5	78.4693601292853	-2.54842917414736	0.646260118118049	-3.94334897466449	8.03515995871488e-05	0.0055842176313563	ENSMUSG00000029371.7	Down
Lemd2	201.181777734962	1.96690644226845	0.499646524844595	3.93659586220521	8.26456149094067e-05	0.00568501654073798	ENSMUSG00000044857.8	Normal
Xpo4	1897.38285460653	-1.11107393366256	0.282751377562525	-3.92950847221553	8.51196777675249e-05	0.00581992977506872	ENSMUSG00000021952.16	Down
Atp5a1	775.908871718454	2.43991018673413	0.621469016904788	3.92603672969257	8.63569745742504e-05	0.00586917162525594	ENSMUSG00000025428.15	Up
Mtss2	607.30783391678	2.41714969140467	0.61592088290419	3.92444834798801	8.69287074761321e-05	0.00587286208246488	ENSMUSG00000033763.14	Up
Ephb3	78.2110145096726	2.80514786595166	0.716419122978992	3.91551226925292	9.0212456577042e-05	0.00599943342958258	ENSMUSG00000005958.15	Up
Mybpc1	266.372213376615	2.63598970238476	0.67329769278378	3.91504342081754	9.038793977609e-05	0.00599943342958258	ENSMUSG00000020061.18	Up
mt-Nd2	20832.8674372038	-1.20278696109474	0.307000649476	-3.91786454897636	8.93368792969747e-05	0.00599943342958258	ENSMUSG00000064345.1	Down
Gm4617	63.3226737344662	3.09280236718679	0.793581543981065	3.89727103741791	9.72827236926548e-05	0.006123720303487	ENSMUSG00000096544.2	Up
Gper1	54.7458155827886	2.73181529554981	0.699908313828625	3.90310450894101	9.49666716620915e-05	0.006123720303487	ENSMUSG00000053647.4	Up
Galnt18	176.189855750555	2.47205724787412	0.633026867614973	3.90513795597331	9.41716472997207e-05	0.006123720303487	ENSMUSG00000038296.14	Up
Gm47283	91.608675705591	2.34918234430876	0.602639288462771	3.89815664076784	9.69277133339666e-05	0.006123720303487	ENSMUSG00000096768.8	Up
Naaa	170.35144380569	2.04547315506679	0.525017264337762	3.89601122478683	9.77898586191575e-05	0.006123720303487	ENSMUSG00000029413.14	Up
Ptk7	696.840794414159	2.02481411138469	0.51955262687279	3.89722620318972	9.73007289248489e-05	0.006123720303487	ENSMUSG00000023972.10	Up
Stmn1	623.220563151342	1.9011448424714	0.488097755318248	3.8950083702635	9.81953387871925e-05	0.006123720303487	ENSMUSG00000028832.11	Normal
Pck2	772.887222699018	1.86634497561768	0.478083492541394	3.90380551668197	9.46918829097857e-05	0.006123720303487	ENSMUSG00000040618.7	Normal
Tnrc18	745.924772742419	1.8298607177951	0.469270303569034	3.89937463308056	9.64414563804496e-05	0.006123720303487	ENSMUSG00000039477.16	Normal
Fkbp8	590.460358256152	1.62143567966328	0.415031350210268	3.90677879837705	9.35347074948226e-05	0.006123720303487	ENSMUSG00000019428.16	Normal
Ivns1abp	4403.2723215949	-1.03443956353867	0.264970020681182	-3.90398717892442	9.46207955350226e-05	0.006123720303487	ENSMUSG00000023150.14	Down
Ptprs	741.769435443615	1.53446001616577	0.394143934461429	3.89314634072069	9.89524188954145e-05	0.00613721286591779	ENSMUSG00000013236.17	Normal
Tpm2	326.367091030864	2.19314255924788	0.563700889566305	3.89061397603119	9.99908963441814e-05	0.00616791670383945	ENSMUSG00000028464.16	Up
Gls	2623.80243639183	-1.11177316786941	0.285875632777112	-3.88900990640298	0.000100654009845353	0.00617525952294464	ENSMUSG00000026103.14	Down
Vgll3	4009.77021091626	-1.09976615747229	0.283356012918461	-3.88121694029044	0.000103935074568348	0.0063422747115632	ENSMUSG00000091243.2	Down
